"","sender_id","receiver_name"
"900",NA,116497
"901",NA,127351
"902",NA,3642
"903",NA,8009
"904",NA,20195
"905",NA,37230
"906",NA,41364
"907",NA,43908
"908",NA,60336
"909",NA,77728
"910",NA,87590
"911",NA,108677
"912",NA,7409
"913",NA,15330
"914",NA,36927
"915",NA,43748
"916",NA,58806
"917",NA,122539
"918",NA,68319
"919",NA,89149
"920",NA,130924
"921","fabio.boldrin",7409
"922","fabio.boldrin",15330
"923","fabio.boldrin",15879
"924","fabio.boldrin",20565
"925","fabio.boldrin",27994
"926","fabio.boldrin",39368
"927","fabio.boldrin",41263
"928","fabio.boldrin",43748
"929","fabio.boldrin",45006
"930","fabio.boldrin",52918
"931","fabio.boldrin",53469
"932","fabio.boldrin",54997
"933","fabio.boldrin",58806
"934","fabio.boldrin",70539
"935","fabio.boldrin",80208
"936","fabio.boldrin",83024
"937","fabio.boldrin",91647
"938","fabio.boldrin",96729
"939","fabio.boldrin",101336
"940","fabio.boldrin",104493
"941","fabio.boldrin",105901
"942","fabio.boldrin",111065
"943",NA,7409
"944",NA,9902
"945",NA,15330
"946",NA,27994
"947",NA,29068
"948",NA,31786
"949",NA,32806
"950",NA,36927
"951",NA,43748
"952",NA,43863
"953",NA,44819
"954",NA,58806
"955",NA,89899
"956",NA,102298
"957",NA,110069
"958",NA,118933
"959",NA,122539
"960",NA,28070
"961",NA,30672
"962",NA,44819
"963",NA,102298
"964",NA,106742
"965",NA,134760
"966",NA,35718
"967",NA,36927
"968",NA,42072
"969",NA,50979
"970",NA,56603
"971",NA,83667
"972",NA,114255
"973",NA,121464
"974",NA,122539
"975",NA,4089
"976",NA,41260
"977",NA,39739
"978",NA,54997
"979",NA,66581
"980",NA,73040
"981",NA,96665
"982",NA,101908
"983",NA,103498
"984",NA,120013
"985","fabio.boldrin",4808
"986","fabio.boldrin",6356
"987","fabio.boldrin",8778
"988","fabio.boldrin",8779
"989","fabio.boldrin",18946
"990","fabio.boldrin",41260
"991","fabio.boldrin",41782
"992","fabio.boldrin",88820
"993","fabio.boldrin",88820
"994","kevin.ge",4808
"995",NA,10231
"996",NA,31977
"997",NA,121804
"998","fabio.boldrin",4808
"999","fabio.boldrin",4867
"1000","fabio.boldrin",5596
"1001","fabio.boldrin",6355
"1002","fabio.boldrin",6356
"1003","fabio.boldrin",8910
"1004","fabio.boldrin",18946
"1005","fabio.boldrin",20251
"1006","fabio.boldrin",88820
"1007","fabio.boldrin",89417
"1008","fabio.boldrin",4808
"1009","fabio.boldrin",5595
"1010","fabio.boldrin",10341
"1011","fabio.boldrin",115081
"1012","fabio.boldrin",4808
"1013","fabio.boldrin",5596
"1014",NA,15330
"1015",NA,56042
"1016",NA,86852
"1017",NA,45409
"1018",NA,70038
"1019",NA,110697
"1020",NA,54997
"1021",NA,70292
"1022",NA,108819
"1023",NA,119002
"1024","luca.biolo",27037
"1025","luca.biolo",27584
"1026","luca.biolo",30798
"1027","luca.biolo",73086
"1028","luca.biolo",74294
"1029",NA,7469
"1030",NA,9902
"1031",NA,10408
"1032",NA,14005
"1033",NA,30810
"1034",NA,31199
"1035",NA,36927
"1036",NA,39244
"1037",NA,62840
"1038",NA,85053
"1039",NA,102298
"1040",NA,105977
"1041",NA,110765
"1042",NA,122539
"1043",NA,61283
"1044",NA,102298
"1045",NA,121086
"1046",NA,122539
"1047",NA,126462
"1048",NA,7409
"1049",NA,11553
"1050",NA,14871
"1051",NA,14977
"1052",NA,15330
"1053",NA,16458
"1054",NA,27994
"1055",NA,31287
"1056",NA,36077
"1057",NA,36927
"1058",NA,39739
"1059",NA,41199
"1060",NA,43748
"1061",NA,53469
"1062",NA,54997
"1063",NA,58806
"1064",NA,61225
"1065",NA,61375
"1066",NA,70945
"1067",NA,81341
"1068",NA,91375
"1069",NA,99112
"1070",NA,102298
"1071",NA,111065
